financial_model_id,trc_id,legal_entity,room_id,change_number,start_date,status,contract_id
1,TRC-01,ООО "ТРЦ Урал",PA-01,1,2023-01-01,Свободен,NULL
1,TRC-01,ООО "ТРЦ Урал",PA-01,2,2023-02-01,Арендован,CTR-2023-001
1,TRC-01,ООО "ТРЦ Урал",PA-01,3,2024-01-01,Свободен,NULL
1,TRC-01,ООО "ТРЦ Урал",PA-01,4,2024-03-01,Арендован,CTR-2024-015
2,TRC-01,ООО "ТРЦ Урал",PA-01,1,2024-01-01,Арендован,CTR-2024-001
1,TRC-01,ООО "ТРЦ Урал",PA-02,1,2023-01-01,Арендован,CTR-2023-002
1,TRC-01,ООО "ТРЦ Урал",PA-02,2,2024-06-01,Ремонт,NULL
2,TRC-01,ООО "ТРЦ Урал",PA-02,1,2024-01-01,Арендован,CTR-2024-002
1,TRC-02,ООО "ТРЦ Сибирь",PA-01,1,2023-01-01,Арендован,CTR-2023-101
1,TRC-02,ООО "ТРЦ Сибирь",PA-01,2,2023-10-01,Свободен,NULL
2,TRC-02,ООО "ТРЦ Сибирь",PA-01,1,2024-01-01,Арендован,CTR-2024-101
1,TRC-02,ООО "ТРЦ Сибирь",PB-01,1,2023-02-01,Арендован,CTR-2023-102
1,TRC-02,ООО "ТРЦ Сибирь",PB-01,2,2024-04-01,Ремонт,NULL
1,TRC-03,ЗАО "ТРЦ Восток",PA-01,1,2023-05-01,Свободен,NULL
1,TRC-03,ЗАО "ТРЦ Восток",PA-01,2,2023-08-01,Арендован,CTR-2023-301
1,TRC-01,ООО "Управляющая компания",PA-02,1,2023-04-01,Арендован,CTR-2023-005
1,TRC-01,ООО "Управляющая компания",PA-02,2,2024-07-01,Свободен,NULL
2,TRC-01,ООО "Управляющая компания",PA-02,1,2024-01-01,Арендован,CTR-2024-005