id,room_id,area_sq_m,floor,trc_id,legal_entity
1,PA-01,45.5,1,TRC-01,ООО "ТРЦ Урал"
2,PA-02,60.0,1,TRC-01,ООО "ТРЦ Урал"
3,PB-01,120.0,2,TRC-01,ООО "ТРЦ Урал"
4,PA-01,48.0,1,TRC-01,ООО "Управляющая компания"
5,PA-02,65.5,1,TRC-02,ООО "ТРЦ Сибирь"
6,PB-01,115.0,2,TRC-02,ООО "ТРЦ Сибирь"
7,PA-01,50.0,1,TRC-03,ЗАО "ТРЦ Восток"
8,PB-01,125.0,2,TRC-03,ЗАО "ТРЦ Восток"
9,PC-01,200.0,3,TRC-03,ЗАО "ТРЦ Восток"
10,PA-01,42.0,1,TRC-04,ООО "ТРЦ Урал"
11,PA-02,58.5,1,TRC-04,ООО "ТРЦ Урал"
12,PB-02,85.5,2,TRC-04,ООО "ТРЦ Урал"
13,PA-01,47.0,1,TRC-05,АО "ТРЦ Столичный"
14,PA-03,35.0,1,TRC-05,АО "ТРЦ Столичный"
15,PB-03,150.0,2,TRC-05,ООО "Управляющая компания"